channel_id,channel_name,video_id
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,uffCXOcna9s
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,-8brw2wqj-s
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,fT43u9OV13U
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,PhwHiWI5S9U
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,b0qPcwEGmWw
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,4WoSvdUhh2s
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,OVRqDkGd1y8
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,cINyWZGNHz8
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,YZl2KwuOG3s
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,vIlLBA9-6to
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,2Kb8XUDF-6g
UCUyfkq9e9ZfPzxOW5WQ9rzQ,MMTG,Fp0xtnasAxY
UCfpaSruWW3S4dibonKXENjA,Tzuyang,KMIk9HKDPQA
UCfpaSruWW3S4dibonKXENjA,Tzuyang,KZPdYiSrdb4
UCfpaSruWW3S4dibonKXENjA,Tzuyang,GntD1JSubh4
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Azb3rMHmUhI
UCfpaSruWW3S4dibonKXENjA,Tzuyang,IDBb-FoWa-k
UCfpaSruWW3S4dibonKXENjA,Tzuyang,1X4GQtKPe7Y
UCfpaSruWW3S4dibonKXENjA,Tzuyang,pWKbRbXPT8A
UCfpaSruWW3S4dibonKXENjA,Tzuyang,099Wx01_5aQ
UCfpaSruWW3S4dibonKXENjA,Tzuyang,GQyNACahbyM
UCfpaSruWW3S4dibonKXENjA,Tzuyang,8kE5Uq_YV08
UCQgh86_11VMZmnOWRurjneQ,Source Music,WJSosvyoYIU
UCQgh86_11VMZmnOWRurjneQ,Source Music,IiStaEwYRv8
UCQgh86_11VMZmnOWRurjneQ,Source Music,e6K3nlAWT64
UCQgh86_11VMZmnOWRurjneQ,Source Music,B-nfNXvxoiw
UCQgh86_11VMZmnOWRurjneQ,Source Music,F-mjxVRYq2g
UCfpaSruWW3S4dibonKXENjA,Tzuyang,UyKDyky_Sho
UCfpaSruWW3S4dibonKXENjA,Tzuyang,4sgEFYpAzd4
UCfpaSruWW3S4dibonKXENjA,Tzuyang,U2bg6PUn_NI
UCfpaSruWW3S4dibonKXENjA,Tzuyang,5kvyjueOvxE
UCfpaSruWW3S4dibonKXENjA,Tzuyang,hbJeJKuxG5Q
UCfpaSruWW3S4dibonKXENjA,Tzuyang,W2rczdVqpPU
UCfpaSruWW3S4dibonKXENjA,Tzuyang,tHHPFZkwF4g
UCfpaSruWW3S4dibonKXENjA,Tzuyang,PnBU-wczPHI
UCfpaSruWW3S4dibonKXENjA,Tzuyang,_nTi6JIiV-Q
UCfpaSruWW3S4dibonKXENjA,Tzuyang,xZGiIBCygGc
UCfpaSruWW3S4dibonKXENjA,Tzuyang,9EpgVDwUqp4
UCfpaSruWW3S4dibonKXENjA,Tzuyang,-qCYzNtjSYY
UCfpaSruWW3S4dibonKXENjA,Tzuyang,PcwjmL-aJxg
